it,loss,R,rmean,rvar,cx,cy,cp,cq
79,1.2030523917942264,1.2030518557812873,0.9390884996409417,0.02604528120193335,0.012263493821726645,0.019175560311825355,0.0015320299095103445,-0.0038834464343923325
80,1.2034151178927575,1.2034147324432847,0.9393680785133705,0.026296222186717774,0.007891576804848227,0.014972115735227779,-0.005314294555096123,0.008382400936359016
81,1.2033605681557769,1.203360264021712,0.9385986643420423,0.02612493177106569,0.008103511034757881,0.014878463295768305,-0.0033258601930055438,-0.0023500241971727885
82,1.20355057415803,1.2035504889835449,0.9436433052107538,0.025757320104573305,-0.0015209360953491189,0.0021621865928286,0.00880236713850215,-0.00042183427983934506
83,1.2034827289239327,1.2034827081232347,0.9401665801283069,0.02530367352099635,-0.002851444579251923,0.0018948051441314148,0.001249844746253273,0.0026405543430512114
84,1.2010849905140561,1.2010847231542885,0.9383433753439061,0.026394982352247107,0.0048088905676683755,-0.008293627006555919,0.010456115306020137,0.008096383766929477
85,1.2042194673735105,1.2042191441431134,0.9429499125419812,0.02538903013619128,0.001111207644311397,0.002455911522172789,0.016711046003224428,0.006009190563799885
86,1.2048917984791712,1.2048915454860607,0.939914785485497,0.026260671700135418,-0.007355489936641599,0.002909590693573054,0.012270841307009162,0.0062631822757363885
87,1.2044313140526743,1.2044307253045758,0.9416985465032537,0.025974588007591518,-0.006149989172923066,-0.0039322299642208505,0.01746826003255136,0.015154874203818986
88,1.205967471377795,1.2059671256586415,0.944076768964157,0.02632085507175621,-0.000872116536142471,-0.004161207022506691,0.017055160939139224,0.006006705371794008
89,1.2054074558938002,1.2054063209509416,0.9395541421716272,0.026425742434929258,-0.01579229634317456,-0.021385249562541377,0.020666363570913237,0.0006368708804674649
90,1.2064005793509054,1.2064000538313495,0.940322541398985,0.02626575213911997,-0.005285490663459578,-0.001842864307018092,0.021846928749064656,0.004019523587434749
91,1.204103094799744,1.2041029420229232,0.940325037745842,0.026134801100533026,-0.007432268972380598,-0.005530674068927876,0.004273840131289502,0.0069221269145509435
92,1.2057206218806453,1.2057202937978004,0.9398493433749612,0.02659774011902534,-0.008506451008451488,-0.01165655910870271,-0.008736683244551803,0.006536193664313926
93,1.206320437110214,1.20631979715193,0.937300156632118,0.026501153911841793,-0.014192051543286918,-0.019929389609319864,-0.0027436319652868186,-0.005745484511799863
94,1.207435183048332,1.2074339109675012,0.9397848731302727,0.0269229229055637,-0.019127615014586694,-0.028656535605094135,-0.0068859330280635475,-0.006061974679569786
95,1.2073562121895778,1.2073557133622383,0.9399458336532734,0.0263928701506134,-0.010680199858992068,-0.017050741007633125,-0.007444935453393498,-0.006141881086169346
96,1.2077969144235503,1.2077959727163181,0.9380344777843408,0.026676932244846047,-0.01108071965791358,-0.026218387142129138,-0.003452860883455539,-0.01089437643624979
97,1.207904126875976,1.207902642438038,0.9410419802737997,0.026846307574136592,-0.016808202965978958,-0.026119073470221972,-0.006017980915291024,-0.021967262372312467
98,1.207984525677528,1.207983790316306,0.9379936259202335,0.026139731621809485,-0.021064056200715185,-0.015341613251944906,-0.006331529241705417,-0.0039046464944698296
99,1.2084084072109214,1.2084077297134441,0.9399224576273818,0.02631407596984829,-0.005207771443929497,-0.021334097252540034,0.004010840126450251,-0.013347383608713553
100,1.208552817879791,1.2085508639825424,0.943506211207613,0.02618815660605556,-0.02276638397844768,-0.029142278513634573,0.009925624120274692,-0.02206309069004976
101,1.208976428121934,1.2089733312428412,0.9404316445714709,0.02654887458248226,-0.019704932750198963,-0.044886613366814834,0.018062555887281895,-0.019143841196036075
102,1.2088737993475893,1.2088729566273957,0.9410229054467296,0.026557975258643562,-0.011995821015245345,-0.024533174451353536,0.006537369917498645,-0.0072896803194481994
