it,loss,R,rmean,rvar,cx,cy
1,0.7868673727286588,0.7868581559237399,0.4979735830659397,0.049195331827078456,0.0937837883748336,0.020515964630215027
2,0.8167820382525618,0.8167775203914852,0.4980383346632763,0.050421914080257216,0.0654351081919774,0.015347247527347441
3,0.7992971763568061,0.7992928193861767,0.49532333876674106,0.04982860628795545,0.06355901456281665,0.017795289763882113
4,0.7920111466959866,0.7920067953676593,0.495867808826444,0.04970416129438262,0.06509818215678907,0.010632297687324429
5,0.7947445988244147,0.7947381374098784,0.49423503754913567,0.04904777774397675,0.07913757836748174,0.014078076206971248
6,0.7778149834516542,0.7778072232062573,0.4961736875133443,0.04929822393594101,0.08418490698783367,0.025936695102818597
7,0.787419765085405,0.7874080551875081,0.5001700898531174,0.048810348630130354,0.10759665066521633,0.011507039238351962
8,0.7878453984577852,0.7878337055214709,0.4985571273290692,0.049140136088628314,0.10812398532355695,0.0012891279241205938
9,0.7889794926859457,0.788964940190725,0.5011542027087647,0.04890914963534927,0.12062142068631586,-0.0015652633848901203
10,0.7853002266567705,0.7852857074912208,0.5004402731719269,0.04885337617822595,0.11981748716604351,-0.012743935397217342
11,0.7855151540261762,0.7855003484925995,0.5027739340167485,0.04877823063682269,0.12078974210715765,-0.014658156931273352
12,0.7789233862536412,0.7789118684844839,0.4995425473643901,0.0488155258324866,0.10701265780049911,-0.008098355616622515
13,0.7686936087534489,0.7686787785862167,0.5031192987377627,0.04895234981157661,0.12171974038740757,-0.003745555141017902
14,0.769048265524892,0.7690338645169091,0.5012564234984049,0.0489229743573884,0.11991147728751785,0.004672259556852259
15,0.768572491716397,0.7685591857863754,0.5000966644804126,0.04904703705203057,0.11464177036318095,0.012758895064424926
16,0.7746064857545044,0.7745934957590119,0.5032214267714407,0.04860134581315749,0.11390458091460975,0.0039161965112625265
17,0.7752917585361261,0.7752798185187332,0.4979063545047978,0.04847939859989893,0.10924190128101056,-0.0024144542188472484
18,0.7668198546866914,0.7668097503625276,0.5008215253389121,0.048812933680500034,0.10022872415214504,0.007625886116205076
19,0.7635819735445218,0.7635718152822676,0.5001593623055524,0.04870180493845677,0.10059387299031246,-0.0062275338538783295
20,0.7606872785223826,0.7606751502078685,0.5013590355826115,0.04863976201187189,0.10891422407748938,-0.016299058996103347
21,0.7595261656676383,0.7595139358781525,0.4983736384056161,0.04845017365934806,0.11028373235265264,-0.008181545668299721
22,0.765610572766847,0.7655973769201929,0.5024457423526677,0.048697830319051075,0.11487033169948448,0.0005397653945987559
23,0.7707701068808931,0.7707594566506915,0.49763387530663344,0.0487831542075777,0.10318878850772975,-0.001388628537348493
24,0.7679461403430496,0.7679329121699344,0.5012775038515556,0.04854538880964998,0.11498194643870979,-0.0026338036291384728
25,0.7662698782619917,0.7662569803068701,0.5006482445069753,0.04875094332959708,0.11356737668812593,-7.202641697558754e-05
26,0.764260974202614,0.7642471421992396,0.5005078167074508,0.048746692494524846,0.11750954610347121,-0.004807116481398867
27,0.7683371190745522,0.7683211412625824,0.5025313947486978,0.04880433366249507,0.12634192563010446,-0.003890433115700599
28,0.777238824605847,0.777222224312106,0.5015918404983271,0.048891672332731666,0.12862826667582328,-0.007394448744330882
29,0.7765515100144987,0.7765327384979913,0.5049173826568185,0.04893682322922639,0.13691120308436508,-0.005144771713414872
30,0.7665342944994051,0.7665188281329595,0.5025408110532131,0.048701955530864205,0.1234056452443632,-0.01539680987415931
31,0.7693637229832301,0.7693485806043528,0.5035874722479515,0.048772381265985564,0.12302370124764186,-0.0026847234938130434
32,0.768548216417228,0.768535099695296,0.49993194103534117,0.04885363303525388,0.1145261188228553,-0.00039326415013960235
33,0.774836230681374,0.7748232782697985,0.5010166228550033,0.04879348657265137,0.11380584356316059,0.0005533234209258155
34,0.7738565240098417,0.7738456718039616,0.4982047713312026,0.04885267262268851,0.10414950095532334,-0.00217980118705529
35,0.7649181557124752,0.7649061144880587,0.5008592694046271,0.048542995751354165,0.10952060232295589,0.0067916229538339395
36,0.7676386570129011,0.7676273030335661,0.4995258843029162,0.04847114521687006,0.10635770637658513,-0.006456205593191242
37,0.7610544370035228,0.7610437825211637,0.4994061701515281,0.04849998472695926,0.1031929484354439,0.0023166549188781546
38,0.759370644348631,0.7593595333239421,0.49908962602646845,0.04866215905633395,0.1053727721864992,0.002696487842860071
39,0.7597940996663578,0.7597803448817032,0.5018664916243696,0.048742949858137624,0.11727924539583169,-0.00013531021581735794
40,0.7682924255495219,0.7682777676119361,0.5009809231819402,0.048740200802226324,0.12095976564936224,0.005129829445328594
41,0.7684108863253286,0.7683958606532287,0.5020731571630291,0.048901352476054656,0.12255003770923747,0.002607584002794027
42,0.7663569275170883,0.7663416929785825,0.5010933648178781,0.0488276930468005,0.12342391618819593,-0.0008490335164584979
43,0.7625050443745678,0.7624915631955169,0.5014464690584353,0.0484987150383833,0.1161031413929191,-0.0009465633793881836
44,0.7577017017665448,0.7576882894188883,0.5004119300332304,0.04839879208067576,0.11558301369785276,-0.0072511950431651375
45,0.7574479586286674,0.7574370822142852,0.5014519201830321,0.0484465330694883,0.10427647099455774,-0.0015807413729422692
46,0.7608088140218026,0.7607960649905089,0.5024874114549169,0.04863674452214206,0.11290649529538745,0.000905493756987031
47,0.7588133092221935,0.7588017860834826,0.49991677942163293,0.048905368900640324,0.10724120580918932,0.0047042440637751854
48,0.7605419878835463,0.7605275717985878,0.5013504386700219,0.048909682829241755,0.11983992480530711,0.007358402571921656
49,0.7609777362365082,0.7609614183924283,0.5036454775274978,0.04863331792842981,0.12738965851859488,0.009454421610596328
50,0.7648254546949405,0.7648113421990335,0.5024237675881174,0.04847643055505499,0.11877366679787714,0.0022306928813857745
51,0.7609939883225176,0.7609805746219419,0.5028222490370792,0.048585255459113456,0.11568883946550286,-0.005427098191714943
52,0.7619825267745628,0.7619695030624322,0.5013395796848938,0.04860440406305128,0.11393211681639527,-0.00654500078372799
53,0.7676909541665558,0.7676780306892939,0.5021556594764404,0.048770641100564026,0.11323245140244269,-0.010076484208870458
54,0.766409797735997,0.7663981757271678,0.5012415811251039,0.048894647466282755,0.10773516025553796,-0.003845881098225116
55,0.7638026759298395,0.7637897474096227,0.5005914918448553,0.04862323437374877,0.11343451462291003,-0.007796416248883994
56,0.7640011934374447,0.7639896023040461,0.4994442804800134,0.04872314718563152,0.10759099325768129,-0.0038694291182271513
57,0.7648802315113046,0.7648688802726916,0.5007442224568109,0.04866414697640641,0.10647083078385679,-0.0038562158268265504
58,0.7581751118892582,0.7581625319133932,0.5005567650100083,0.04859977547276104,0.11147643204306835,-0.012355455542932485
59,0.7597404776496925,0.7597296017198022,0.5000319841942137,0.04850150800736021,0.10427232151158548,-0.0016990177953889465
60,0.7601452229537029,0.7601349086841336,0.4993426271223939,0.04878791684251868,0.10145923415230998,0.004467555580129375
61,0.76289548645591,0.7628863224197954,0.49815637200162965,0.048862761055408155,0.09545548982718505,0.0072066995249516486
62,0.77126630451914,0.7712562344125758,0.49878311784337753,0.048559845039142374,0.0998099192502606,0.010379123254140137
63,0.771821188168806,0.7718118739839233,0.4989142353316153,0.04870020519344873,0.09650797021682012,-0.00018960079647319661
64,0.763557071810108,0.7635467144317155,0.4983647252061407,0.048568655566804605,0.10176186532111081,0.0012450289155625754
65,0.7630419723436556,0.7630312394022334,0.4975243399922547,0.048682954994694085,0.10357448039525341,-0.0022189298633839075
66,0.762607838707107,0.7625953045578444,0.5015099436284184,0.04872785336769446,0.11186254005688895,-0.004535871090269672
67,0.7664706874651186,0.7664567201014851,0.5009188335818401,0.04876008726868052,0.1179922590296105,-0.006696105470839776
68,0.7716604204052118,0.7716460674223441,0.503119817029618,0.04872514864821784,0.11967831784576312,-0.0054523771364553344
69,0.7678250103643492,0.7678108845964968,0.5011831199639848,0.04861671295074278,0.11884975214540351,-0.00039273839111000414
70,0.772448948506511,0.7724338629753847,0.5048568763934639,0.04862725244324902,0.12282119228143028,-0.0003732299300234766
71,0.7706486443949465,0.770635119102891,0.4992923140264301,0.04867305942393529,0.11605677859295181,-0.007467991176873331
72,0.7650617508051409,0.7650495211079112,0.5012778708479338,0.04865119588933107,0.11058413798774222,0.0007077671513630996
73,0.7539236292239428,0.7539114637111621,0.502236134106635,0.04864464578089182,0.11029516048265592,0.0003793815787507463
74,0.7598053895541164,0.7597928391057244,0.5012273379310623,0.048480978718064054,0.11158869290295713,-0.009902468516925755
75,0.7633950871680805,0.7633839931429748,0.49753348049700946,0.04868974987856339,0.10514006644918132,0.006263291201281142
76,0.7617140096290671,0.7617033848060999,0.4995004703335499,0.04895755152022724,0.10241278389620334,0.011665143488275765
77,0.767779243780178,0.7677704016215096,0.4981821004443376,0.04900318702213537,0.09373358955118219,0.007469810126842324
78,0.7703444790285597,0.7703345528745407,0.4992733660814685,0.0486630958805084,0.0996154732334329,0.0015913438497340733
79,0.7673302745555077,0.7673193496738578,0.4960122555656642,0.04856413254643362,0.10444041456019945,0.004087501331762666
80,0.7720230045227778,0.7720137951768633,0.4971810219810549,0.048737808917703296,0.09540120456914891,0.010372642570923452
81,0.7676253488247708,0.7676152411371208,0.4983516524226899,0.04860708232689167,0.10015787264830706,0.008702516240208395
82,0.7554588551325683,0.7554480164369003,0.5013872345247448,0.04852847262903798,0.10405800700862118,0.0032060326570068107
83,0.7651356811616422,0.7651227224566384,0.49987209958230616,0.048712112546287475,0.11349510534691382,-0.008786854036042445
84,0.7659308296082978,0.7659150743499097,0.5023858194112211,0.048902611723087235,0.1252255261861061,-0.008570538679346198
85,0.7727816359704105,0.7727648122166262,0.5033647219802928,0.04905436951247883,0.127771180751515,-0.022313505668642562
86,0.774658664988232,0.7746440054207,0.5005303304749045,0.04893970274363566,0.11781417296612734,-0.027910366127469676
87,0.7770712317337836,0.7770567778865151,0.5029852096952889,0.04863719430305293,0.11684043564088581,-0.028315190449328342
88,0.7768041687660403,0.776789089590047,0.5055812012245668,0.04894426020172478,0.11781841372021074,-0.034606172373003605
89,0.7712770720929688,0.771263060131131,0.5010530767772855,0.04873688613412119,0.11417124139315493,-0.03124878770429092
90,0.7742028771496213,0.7741868908039287,0.5050776659322888,0.04884326085011498,0.12530711697669258,-0.016854614075864888
91,0.7701106205340377,0.7700955021096478,0.5033785695729088,0.04891345918074475,0.12171069558139228,-0.0174511745519758
92,0.7734066457140043,0.7733903791359502,0.5049574275387254,0.0489138303437831,0.12703204856395753,-0.011360000692448963
93,0.773676321983485,0.7736610088150041,0.5016908070135943,0.04893384874835249,0.12373256185685506,-0.001742450821025323
94,0.7646374828683911,0.7646246024434226,0.501570053292126,0.04886942525305036,0.11321089269195532,0.007958528000352988
95,0.7664601971432754,0.7664476522482394,0.5013097903384321,0.048561604712651814,0.111979206795735,0.0022735603523252323
96,0.768813785372977,0.7688018945345688,0.5003797679798332,0.04855901896976895,0.10903275755982211,-0.0015182309612002882
97,0.767015201239702,0.7670055264364988,0.5010042268432909,0.04883140764875574,0.09787790895711898,-0.009711656200379129
98,0.7640431308334559,0.7640329516185335,0.4986990499895273,0.04874249158354855,0.10013820018468333,-0.012294174258264868
99,0.7707495206136288,0.7707387464373711,0.497449788527734,0.048418744223422065,0.10379282499148214,-0.0009020800878801989
100,0.7713830318667939,0.7713758244057429,0.49752045298145603,0.04877912461980805,0.08487306879411947,-0.0019007428185992866
101,0.7665681416039973,0.766560757788403,0.497972479220782,0.04863053132116239,0.0857776719772709,0.005059934445773171
102,0.7679190200977278,0.7679105759155985,0.4976855308637086,0.048658536073513683,0.09157571089558246,0.007594343242971303
103,0.7671862221451362,0.7671760896034572,0.4997258717336232,0.04864812284706411,0.1004736337213343,0.006098799463925593
104,0.7656811386944055,0.7656713741458955,0.49830982674277174,0.04881818541284562,0.0987495782296397,0.0035599540767723356
105,0.7658614062066558,0.7658500082573211,0.49734623343905,0.04880651888231227,0.10640098099046165,0.008739815846571502
106,0.7574460713368317,0.7574327970388677,0.503068377858389,0.0485773410685078,0.11477977601672414,0.009975227575737995
107,0.7625218565971997,0.7625100735788001,0.5015287374498839,0.04863818773939786,0.10842960714870387,-0.005062972284917325
108,0.7679855657354481,0.7679751321870476,0.49838548009048106,0.04869338199775256,0.10202507979921643,-0.004900126894695038
109,0.7657518349062068,0.7657421773447015,0.500684514956825,0.048539603227018294,0.09827036106513874,0.00026194542997953714
110,0.7655763455912596,0.7655666709099284,0.49759908175344575,0.048625136409197474,0.09742076898229292,-0.013544173128508828
111,0.7737239691487287,0.7737149694635463,0.4993884868622554,0.04853537193738699,0.09454955830381143,-0.007722129265446048
112,0.775009792628443,0.7750006985333294,0.4998339558233538,0.04892456585672828,0.09478378551093357,-0.010473531264856862
113,0.7703481650966986,0.77033710707753,0.49912492159060773,0.048896714908025087,0.10319331399208045,-0.020217094456009225
114,0.7642824285605075,0.7642696414845356,0.5033660556416414,0.04872448864451492,0.11160329780127569,-0.018203263299130384
115,0.7616680577519017,0.7616547851253898,0.5003306177931554,0.048761755047818295,0.11409483171089918,-0.015955425663205066
